ID,Name,Reference,DOI,Year,Journal,Kingdom,Genus,Species,MX State,Location,SMILES,SlogP,TPSA,ExactMW,NumRotatableBonds,NumHBD,NumHBA,Original database
FQNP1,Santin,J Ethnopharmacol 2017 200:22-30,10.1016/j.jep.2017.02.023,2017,Journal of Ethnopharmacology,Plant,Tanacetum,Tanacetum parthenium,Estado de Mexico,Zinacantepec,COc1ccc(-c2oc3cc(O)c(OC)c(O)c3c(=O)c2OC)cc1,2.897,98.36,344.0896029,4,2,7,BIOFACQUIM
FQNP10,(4R 5S 6R)-6-Chloro-4 5-dihydroxy-3-methoxy-5-methylcyclohex-2-enone,J Agric Food Chem 2016 64 (21):4255-4263,10.1021/acs.jafc.6b01111,2016,Journal of Agricultural and Food Chemistry,Fungus,Xylaria,Xylaria feejeensis,Morelos,Quilamula,COC1=CC(=O)[C@H](Cl)[C@@](C)(O)[C@H]1O,-0.1813,66.76,206.0345865,1,2,4,BIOFACQUIM
FQNP105,Rotenone,Nat Prod Res 28 (20):1780-1785,10.1080/14786419.2014.939081,2014,Natural Products Research,Plant,Pachyrhizus,Pachyrhizus erosus,Ciudad de Mexico,El Semillero,C=C(C)[C@@H]1Cc2c(ccc3c2O[C@H]2COc4cc(OC)c(OC)cc4[C@H]2C3=O)O1,3.7033,63.22,394.1416384,3,0,6,BIOFACQUIM
FQNP106,Dolineone,Nat Prod Res 28 (20):1780-1785,10.1080/14786419.2014.939081,2014,Natural Products Research,Plant,Pachyrhizus,Pachyrhizus erosus,Ciudad de Mexico,El Semillero,O=C1c2cc3ccoc3cc2O[C@H]2COc3cc4c(cc3[C@@H]12)OCO4,3.2814,67.13,336.0633881,0,0,6,BIOFACQUIM
FQNP107,12a-hydroxypachyrhizone,Nat Prod Res 28 (20):1780-1785,10.1080/14786419.2014.939081,2014,Natural Products Research,Plant,Pachyrhizus,Pachyrhizus erosus,Ciudad de Mexico,El Semillero,COc1c2c(cc3ccoc13)C(=O)[C@@]1(O)c3cc4c(cc3OC[C@@H]1O2)OCO4,2.394,96.59,382.0688674,1,1,8,BIOFACQUIM
FQNP108,Pachyrhizine,Nat Prod Res 28 (20):1780-1785,10.1080/14786419.2014.939081,2014,Natural Products Research,Plant,Pachyrhizus,Pachyrhizus erosus,Ciudad de Mexico,El Semillero,COc1cc2c(cc1-c1cc3cc4ccoc4cc3oc1=O)OCO2,3.9435,71.04,336.0633881,2,0,6,BIOFACQUIM
FQNP109,Acacetin,J Ethnopharmacol 2015;161:36-45,10.1016/j.jep.2014.11.052,2015,Journal of Ethnopharmacology,Plant,Anoda,Anoda cristata,Puebla,Tepeaca,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,2.8798,79.9,284.0684735,2,2,5,BIOFACQUIM
FQNP11,2-hydroxy-3-methyl-5-(methylamino)cyclohexa-2 5-diene-1 4-dione,J Agric Food Chem 2016 64 (21):4255-4263,10.1021/acs.jafc.6b01111,2016,Journal of Agricultural and Food Chemistry,Fungus,Xylaria,Xylaria feejeensis,Morelos,Quilamula,CNC1=CC(=O)C(O)=C(C)C1=O,0.0735,66.4,167.0582431,1,2,4,BIOFACQUIM
FQNP110,Diosmetin,J Ethnopharmacol 2015;161:36-45,10.1016/j.jep.2014.11.052,2015,Journal of Ethnopharmacology,Plant,Anoda,Anoda cristata,Puebla,Tepeaca,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1O,2.5854,100.13,300.0633881,2,3,6,BIOFACQUIM
FQNP111,Diligustilide,J Ethnopharmacol 2015;174:403-409,10.1016/j.jep.2015.08.030,2015,Journal of Ethnopharmacology,Plant,Ligusticum,Ligusticum porteri,Chihuahua,Basigochi,CCC/C=C1\OC(=O)C2=C1CC[C@H]1[C@H]3C=C4C(=O)O/C(=C\CCC)[C@@]4(CC3)[C@@H]21,5.1272,52.6,380.1987594,4,0,4,BIOFACQUIM
FQNP112,Eupatilin,J Ethnopharmacol 2014;155(1):416-425,10.1016/j.jep.2014.05.051,2014,Journal of Ethnopharmacology,Plant,Artemisia,Artemisia ludoviciana,Ciudad de Mexico,San Nicolas Tetelco,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1OC,2.897,98.36,344.0896029,4,2,7,BIOFACQUIM
FQNP113,Jaceosidin,J Ethnopharmacol 2014;155(1):416-425,10.1016/j.jep.2014.05.051,2014,Journal of Ethnopharmacology,Plant,Artemisia,Artemisia ludoviciana,Ciudad de Mexico,San Nicolas Tetelco,COc1cc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)ccc1O,2.594,109.36,330.0739528,3,3,7,BIOFACQUIM
FQNP114,Arglanin,J Ethnopharmacol 2014;155(1):416-425,10.1016/j.jep.2014.05.051,2014,Journal of Ethnopharmacology,Plant,Artemisia,Artemisia ludoviciana,Ciudad de Mexico,San Nicolas Tetelco,C=C1C(=O)O[C@@H]2C1CC[C@]1(C)C(=O)C=C[C@](C)(O)[C@@H]21,1.3904,63.6,262.1205091,0,1,4,BIOFACQUIM
FQNP115,Salvinine,J Ethnopharmacol 2014;155(1):416-425,10.1016/j.jep.2014.05.051,2014,Journal of Ethnopharmacology,Plant,Artemisia,Artemisia ludoviciana,Ciudad de Mexico,San Nicolas Tetelco,C=CC(C)(O)CCCC(C)C(=O)/C=C/C(C)(C)O,2.626,57.53,254.1881947,8,2,3,BIOFACQUIM
FQNP116,3 5-dicaffeoylquinic acid,J Ethnopharmacol 2014;155(1):416-425,10.1016/j.jep.2014.05.051,2014,Journal of Ethnopharmacology,Plant,Artemisia,Artemisia ludoviciana,Ciudad de Mexico,San Nicolas Tetelco,COC(=O)C1(O)C[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)C(O)[C@H](OC(=O)/C=C/c2ccc(O)c(O)c2)C1,1.118,200.28,530.1424263,7,6,12,BIOFACQUIM
FQNP117,Amentoflavone,J Ethnopharmacol 2015;163:167-172,10.1016/j.jep.2015.01.031,2015,Journal of Ethnopharmacology,Plant,Selaginella,Selaginella nothohybrida,Ciudad de Mexico,Mercado de Sonora,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,5.134,181.8,538.0899968,3,6,10,BIOFACQUIM
FQNP118,Robustaflavone,J Ethnopharmacol 2015;163:167-172,10.1016/j.jep.2015.01.031,2015,Journal of Ethnopharmacology,Plant,Selaginella,Selaginella nothohybrida,Ciudad de Mexico,Mercado de Sonora,O=c1cc(-c2ccc(O)c(-c3c(O)cc4oc(-c5ccc(O)cc5)cc(=O)c4c3O)c2)oc2cc(O)cc(O)c12,5.134,181.8,538.0899968,3,6,10,BIOFACQUIM
FQNP119,(S)-2 3-dihydrorobustaflavone,J Ethnopharmacol 2015;163:167-172,10.1016/j.jep.2015.01.031,2015,Journal of Ethnopharmacology,Plant,Selaginella,Selaginella nothohybrida,Ciudad de Mexico,Mercado de Sonora,O=C1CC(c2ccc(O)c(-c3c(O)cc4oc(-c5ccc(O)cc5)cc(=O)c4c3O)c2)Oc2cc(O)cc(O)c21,5.0671,177.89,540.1056468,3,6,10,BIOFACQUIM
FQNP12,(4R 5R 6R)-4 5-Dihydroxy-3-methoxy-5-methyl-6-(phenylamino)cyclohex-2-enone,bisabolane axinythiocyanate A,10.1021/acs.jafc.6b01111,2016,Journal of Agricultural and Food Chemistry,Fungus,Xylaria,Xylaria feejeensis,Morelos,Quilamula,COC1=CC(=O)[C@H](Nc2ccccc2)[C@@](C)(O)[C@H]1O,0.692,78.79,263.115758,3,3,5,BIOFACQUIM
FQNP120,Trehalose,J Ethnopharmacol 2015;163:167-172,10.1016/j.jep.2015.01.031,2015,Journal of Ethnopharmacology,Plant,Selaginella,Selaginella nothohybrida,Ciudad de Mexico,Mercado de Sonora,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,-5.3972,189.53,342.1162115,4,8,11,BIOFACQUIM
FQNP121,n-hexacosyl-trans-p-coumarate,J Ethnopharmacol 2014;154(3):790-7,10.1016/j.jep.2014.05.006,2014,Journal of Ethnopharmacology,Plant,Cyrtopodium,Cyrtopodium macrobulbon,Guerrero,Acahuizotla,CCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)/C=C/c1ccc(O)cc1,11.3309,46.53,528.4542458,27,1,3,BIOFACQUIM
FQNP122,n-octacosyl-trans-p-coumarate,J Ethnopharmacol 2014;154(3):790-7,10.1016/j.jep.2014.05.006,2014,Journal of Ethnopharmacology,Plant,Cyrtopodium,Cyrtopodium macrobulbon,Guerrero,Acahuizotla,CCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)/C=C/c1ccc(O)cc1,12.1111,46.53,556.4855459,29,1,3,BIOFACQUIM
FQNP123,n-triacontyl-trans-p-coumarate,J Ethnopharmacol 2014;154(3):790-7,10.1016/j.jep.2014.05.006,2014,Journal of Ethnopharmacology,Plant,Cyrtopodium,Cyrtopodium macrobulbon,Guerrero,Acahuizotla,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)/C=C/c1ccc(O)cc1,12.8913,46.53,584.516846,31,1,3,BIOFACQUIM
FQNP124,4-methoxy-benzyl alcohol,J Ethnopharmacol 2014;154(3):790-7,10.1016/j.jep.2014.05.006,2014,Journal of Ethnopharmacology,Plant,Cyrtopodium,Cyrtopodium macrobulbon,Guerrero,Acahuizotla,COc1ccc(CO)cc1,1.1875,29.46,138.0680796,2,1,2,BIOFACQUIM
FQNP125,4-hydroxybenzaldehyde,J Ethnopharmacol 2014;154(3):790-7,10.1016/j.jep.2014.05.006,2014,Journal of Ethnopharmacology,Plant,Cyrtopodium,Cyrtopodium macrobulbon,Guerrero,Acahuizotla,O=Cc1ccc(O)cc1,1.2047,37.3,122.0367794,1,1,2,BIOFACQUIM
FQNP126,1 5 7-trimethoxy-9 10-dihydrophenanthrene-2 6-diol,J Ethnopharmacol 2014;154(3):790-7,10.1016/j.jep.2014.05.006,2014,Journal of Ethnopharmacology,Plant,Cyrtopodium,Cyrtopodium macrobulbon,Guerrero,Acahuizotla,COc1cc2c(c(OC)c1O)-c1ccc(O)c(OC)c1CC2,2.8892,68.15,302.1154237,3,2,5,BIOFACQUIM
FQNP127,Confusarin,J Ethnopharmacol 2014;154(3):790-7,10.1016/j.jep.2014.05.006,2014,Journal of Ethnopharmacology,Plant,Cyrtopodium,Cyrtopodium macrobulbon,Guerrero,Acahuizotla,COc1cc2ccc3c(OC)c(O)ccc3c2c(OC)c1O,3.43,68.15,300.0997736,3,2,5,BIOFACQUIM
FQNP128,Ephemeranthol B,J Ethnopharmacol 2014;154(3):790-7,10.1016/j.jep.2014.05.006,2014,Journal of Ethnopharmacology,Plant,Cyrtopodium,Cyrtopodium macrobulbon,Guerrero,Acahuizotla,COc1cc2ccc3cc(O)ccc3c2c(OC)c1O,3.4214,58.92,270.0892089,2,2,4,BIOFACQUIM
FQNP129,Gigantol,J Ethnopharmacol 2014;154(3):790-7,10.1016/j.jep.2014.05.006,2014,Journal of Ethnopharmacology,Plant,Cyrtopodium,Cyrtopodium macrobulbon,Guerrero,Acahuizotla,COc1cc(O)cc(CCc2ccc(O)c(OC)c2)c1,2.9002,58.92,274.1205091,5,2,4,BIOFACQUIM
FQNP13,2-((4-Butylphenyl)amino)-5-methoxy-3-methylcyclohexa-2 5-diene-1 4-dione,J Agric Food Chem 2016 64 (21):4255-4263,10.1021/acs.jafc.6b01111,2016,Journal of Agricultural and Food Chemistry,Fungus,Xylaria,Xylaria feejeensis,Morelos,Quilamula,CCCCc1ccc(NC2=C(C)C(=O)C(OC)=CC2=O)cc1,3.3972,55.4,299.1521435,6,1,4,BIOFACQUIM
FQNP130,Batatasin III,J Ethnopharmacol 2014;154(3):790-7,10.1016/j.jep.2014.05.006,2014,Journal of Ethnopharmacology,Plant,Cyrtopodium,Cyrtopodium macrobulbon,Guerrero,Acahuizotla,COc1cc(O)cc(CCc2cccc(O)c2)c1,2.8916,49.69,244.1099444,4,2,3,BIOFACQUIM
FQNP131,Retusin,J Agric Food Chem 2015 63 (37):8106-8115,10.1021/acs.jafc.5b02842,2015,Journal of Agricultural and Food Chemistry,Plant,Croton,Croton ciliatoglanduliferus,Not specified,Not specified,COc1cc(O)c2c(=O)c(OC)c(-c3ccc(OC)c(OC)c3)oc2c1,3.2,87.36,358.1052529,5,1,7,BIOFACQUIM
FQNP132,Paquipodol,J Agric Food Chem 2015 63 (37):8106-8115,10.1021/acs.jafc.5b02842,2015,Journal of Agricultural and Food Chemistry,Plant,Croton,Croton ciliatoglanduliferus,Not specified,Not specified,COc1cc(O)c2c(=O)c(OC)c(-c3ccc(O)c(OC)c3)oc2c1,2.897,98.36,344.0896029,4,2,7,BIOFACQUIM
FQNP133,Chaetomin,Planta Med 2014;80-PG16,10.1055/s-0034-1382605,2014,Planta Medica,Fungus,Chaetomium,Chaetomium globosum,Not specified,Not specified,CN1C(=O)[C@]2(Cc3cn([C@]45C[C@@]67SS[C@@](CO)(C(=O)N6[C@H]4Nc4ccccc45)N(C)C7=O)c4ccccc34)SS[C@@]1(CO)C(=O)N2C,1.8735,138.66,710.1109667,5,3,12,BIOFACQUIM
FQNP134,Thielavin-A,Planta Med 2013;79-PL35,10.1055/s-0033-1348676,2013,Planta Medica,Fungus,MEXU,MEXU 27095,Not specified,Not specified,Cc1cc(O)c(C)c(O)c1C(=O)Oc1c(C)c(C)c(C(=O)Oc2c(C)c(C)c(C(=O)O)c(O)c2C)c(O)c1C,5.11296,170.82,538.1838972,5,5,9,BIOFACQUIM
FQNP135,Thielavin-J,Planta Med 2013;79-PL35,10.1055/s-0033-1348676,2013,Planta Medica,Fungus,MEXU,MEXU 27095,Not specified,Not specified,COc1c(C)c(OC(=O)c2c(C)cc(O)c(C)c2O)c(C)c(C)c1C(=O)Oc1cc(C)c(C(=O)O)c(O)c1C,5.10754,159.82,538.1838972,6,4,9,BIOFACQUIM
FQNP136,Thielavin-K,Planta Med 2013;79-PL35,10.1055/s-0033-1348676,2013,Planta Medica,Fungus,MEXU,MEXU 27095,Not specified,Not specified,COc1c(C)c(OC(=O)c2c(C)cc(O)c(C)c2O)c(C)c(C)c1C(=O)Oc1c(C)c(C)c(C(=O)O)c(O)c1C,5.41596,159.82,552.1995472,6,4,9,BIOFACQUIM
FQNP137,5-O-[b-D-apiofuranosyl-(1-6)-b-D-glucopyranosyl]-7-methoxy-3' 4'-dihydroxy-4-phenylcoumarin,J Ethnopharmacol 2013;145(2):530-5,10.1016/j.jep.2012.11.025,2013,Journal of Ethnopharmacology,Plant,Hintonia,Hintonia standleyana,Guerrero,Analco,COc1cc(O[C@@H]2O[C@H](CO[C@@H]3OC[C@](O)(CO)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)c2c(-c3ccc(O)c(O)c3)cc(=O)oc2c1,-1.4766,238.2,594.1584703,8,8,15,BIOFACQUIM
FQNP138,Chlorogenic acid,J Ethnopharmacol 2013;145(2):530-5,10.1016/j.jep.2012.11.025,2013,Journal of Ethnopharmacology,Plant,Hintonia,Hintonia standleyana,Guerrero,Analco,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,-0.6459,164.75,354.0950822,4,6,8,BIOFACQUIM
FQNP139,Kaempferitrin,J Ethnopharmacol 2012;143(2):455-62,10.1016/j.jep.2012.06.043,2012,Journal of Ethnopharmacology,Plant,Justicia,Justicia spicigera,San Luis Potosi,Ciudad Valles,C[C@@H]1O[C@@H](Oc2cc(O)c3c(=O)c(O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)c(-c4ccc(O)cc4)oc3c2)[C@H](O)[C@H](O)[C@H]1O,-0.7162,228.97,578.1635556,5,8,14,BIOFACQUIM
FQNP14,6 6'' 3'''-trihydroxy-7 3' 7''-O-trimethylloniflavone,J Nat Prod 2017 80 (5):1584-1593,10.1021/acs.jnatprod.7b00155,2017,Journal of Natural Products,Plant,Salvia,Salvia circinata,Puebla,Huauchinango,COc1cc(-c2cc(=O)c3c(O)c(O)c(OC)cc3o2)ccc1Oc1ccc(-c2cc(=O)c3c(O)c(O)c(OC)cc3o2)cc1OC,5.8825,187.49,642.1373409,8,4,13,BIOFACQUIM
FQNP140,Vitexin,J Ethnopharmacol 2012;142(3):857-64,10.1016/j.jep.2012.06.018,2012,Journal of Ethnopharmacology,Plant,Phoradendron,Phoradendron serotinum,Nuevo Leon,Santa Catarina,O=c1cc(-c2ccc(O)cc2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12,0.0917,181.05,432.1056468,3,7,10,BIOFACQUIM
FQNP141,Masticadienonic acid,J Ethnopharmacol 2011;134(1):67-73,10.1016/j.jep.2010.11.057,2011,Journal of Ethnopharmacology,Plant,Amphipterygium,Amphipterygium adstringens,Morelos,Barranca Honda,C/C(=C/CC[C@@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)C(=O)CC[C@]4(C)[C@H]3CC[C@@]12C)C(=O)O,7.6079,54.37,454.3446953,5,1,2,BIOFACQUIM
